taxon,propIDspecies,uniquespp,allspecies,propspecies,observations,logobs,year
Dragonflies and damselflies,0.928304498,67,73,0.917808219,7225,3.858837851,2021
Butterflies,0.973477031,113,120,0.941666667,13083,4.116707341,2021
Moths,0.891540399,1201,2410,0.498340249,24221,4.38419207,2021
Slugs and land snails,0.772043645,59,134,0.440298507,3391,3.53032779,2021
Centipedes and pseudocentipedes,0.495,7,62,0.112903226,200,2.301029996,2021
Bees,0.719300623,160,391,0.409207161,7378,3.867938651,2021
Scorpionflies,0.777192982,6,6,1,570,2.755874856,2021
"Grasshoppers, crickets and allies",0.749857061,50,70,0.714285714,3498,3.543819805,2021
Ants,0.365509761,27,205,0.131707317,922,2.964730921,2021
True bugs,0.911538946,260,674,0.385756677,7947,3.900203213,2021
Beetles,0.828249627,1001,4616,0.216854419,22818,4.358277576,2021
Woodlice and pillbugs,0.919739696,9,45,0.2,922,2.964730921,2021
"Lacewings, antlions and allies",0.209302326,18,73,0.246575342,430,2.633468456,2021
Spiders,0.625759074,182,692,0.26300578,7081,3.850094594,2021
Harvestmen,0.819915254,18,37,0.486486486,944,2.974971994,2021
Earwigs,0.9609375,6,7,0.857142857,256,2.408239965,2021
Silverfishes,0.803030303,2,6,0.333333333,132,2.120573931,2021
Millipedes,0.417417417,20,64,0.3125,333,2.522444234,2021
Flies,0.608531145,719,5767,0.124674874,25108,4.39981212,2021
"Hoppers, scale insects and allies",0.468104223,108,1308,0.082568807,2226,3.34752516,2021
Sawflies,0.59764475,107,486,0.220164609,1019,3.008174184,2021
Springtails,0.728712871,31,359,0.086350975,505,2.703291378,2021
Thrips,0,0,287,0,102,2.008600172,2021
Wasps,0.576732218,253,4698,0.053852703,5441,3.735678726,2021
Mites and ticks,0.501199041,39,1837,0.021230267,417,2.620136055,2021
Earthworms and leeches,0.635714286,11,69,0.15942029,280,2.447158031,2021
"Dobsonflies, alderflies and allies",0.50955414,1,3,0.333333333,157,2.195899652,2021
Caddisflies,0.645833333,36,201,0.179104478,432,2.635483747,2021
"Bark, book and true lice",0.687943262,13,485,0.026804124,141,2.149219113,2021
Mayflies,0.581920904,8,89,0.08988764,177,2.247973266,2021
